A_0	a_m a_m
CHUAI_4	chu a_h eh_l
CHUAN_0	chu a_m nn_m
CHUAN_1	chu a_h nn_h
CHUAN_2	chu a_l nn_h
CHUAN_3	chu a_l nn_l
CHUAN_4	chu a_h nn_l
CHUANG_0	chu aa_m ng_m
CHUANG_1	chu aa_h ng_h
CHUANG_2	chu aa_l ng_h
CHUANG_3	chu aa_l ng_l
CHUANG_4	chu aa_h ng_l
CHUI_0	chu eh_m i_m
CHUI_1	chu eh_h i_h
CHUI_2	chu eh_l i_h
CHUI_3	chu eh_l i_l
CHUI_4	chu eh_h i_l
CHUN_0	chu el_m nn_m
CHUN_1	chu el_h nn_h
CHUN_2	chu el_l nn_h
CHUN_3	chu el_l nn_l
CHUN_4	chu el_h nn_l
CHUO_0	chu o_m o_m
CHUO_1	chu o_h o_h
CHUO_2	chu o_l o_h
CHUO_3	chu o_l o_l
CHUO_4	chu o_h o_l
CI_0	c if_m if_m
CI_1	c if_h if_h
CI_2	c if_l if_h
CI_3	c if_l if_l
CI_4	c if_h if_l
CONG_0	cu u_m ng_m
CONG_1	cu u_h ng_h
CONG_2	cu u_l ng_h
CONG_3	cu u_l ng_l
CONG_4	cu u_h ng_l
COU_0	c o_m u_m
COU_1	c o_h u_h
COU_2	c o_l u_h
COU_3	c o_l u_l
COU_4	c o_h u_l
CU_0	cu u_m u_m
CU_1	cu u_h u_h
CU_2	cu u_l u_h
CU_3	cu u_l u_l
CU_4	cu u_h u_l
CUAN_0	cu a_m nn_m
CUAN_1	cu a_h nn_h
CUAN_2	cu a_l nn_h
CUAN_3	cu a_l nn_l
CUAN_4	cu a_h nn_l
CUI_0	cu eh_m i_m
CUI_1	cu eh_h i_h
CUI_2	cu eh_l i_h
CUI_3	cu eh_l i_l
CUI_4	cu eh_h i_l
CUN_0	cu el_m nn_m
CUN_1	cu el_h nn_h
CUN_2	cu el_l nn_h
CUN_3	cu el_l nn_l
CUN_4	cu el_h nn_l
CUO_0	cu o_m o_m
CUO_1	cu o_h o_h
CUO_2	cu o_l o_h
CUO_3	cu o_l o_l
CUO_4	cu o_h o_l
DA_0	d a_m a_m
DA_1	d a_h a_h
DA_2	d a_l a_h
DA_3	d a_l a_l
DA_4	d a_h a_l
DAI_0	d a_m eh_m
DAI_1	d a_h eh_h
DAI_2	d a_l eh_h
DAI_3	d a_l eh_l
DAI_4	d a_h eh_l
DAN_0	d a_m nn_m
DAN_1	d a_h nn_h
DAN_2	d a_l nn_h
DAN_3	d a_l nn_l
DAN_4	d a_h nn_l
DANG_0	d aa_m ng_m
DANG_1	d aa_h ng_h
DANG_2	d aa_l ng_h
DANG_3	d aa_l ng_l
DANG_4	d aa_h ng_l
DAO_0	d aa_m o_m
DAO_1	d aa_h o_h
DAO_2	d aa_l o_h
DAO_3	d aa_l o_l
DAO_4	d aa_h o_l
DE_0	d el_m el_m
DE_1	d el_h el_h
DE_2	d el_l el_h
DE_3	d el_l el_l
DE_4	d el_h el_l
DEI_0	d eh_m i_m
DEI_1	d eh_h i_h
DEI_2	d eh_l i_h
DEI_3	d eh_l i_l
DEI_4	d eh_h i_l
DENG_0	d el_m ng_m
DENG_1	d el_h ng_h
DENG_2	d el_l ng_h
DENG_3	d el_l ng_l
DENG_4	d el_h ng_l
DI_0	di i_m i_m
DI_1	di i_h i_h
DI_2	di i_l i_h
DI_3	di i_l i_l
DI_4	di i_h i_l
DIA_0	di a_m a_m
DIA_1	di a_h a_h
DIA_2	di a_l a_h
DIA_3	di a_l a_l
DIA_4	di a_h a_l
DIAN_0	di a_m nn_m
DIAN_1	di a_h nn_h
DIAN_2	di a_l nn_h
DIAN_3	di a_l nn_l
DIAN_4	di a_h nn_l
DIAO_0	di aa_m o_m
DIAO_1	di aa_h o_h
DIAO_2	di aa_l o_h
DIAO_3	di aa_l o_l
DIAO_4	di aa_h o_l
DIE_0	di eh_m eh_m
DIE_1	di eh_h eh_h
DIE_2	di eh_l eh_h
DIE_3	di eh_l eh_l
DIE_4	di eh_h eh_l
DING_0	di el_m ng_m
DING_1	di el_h ng_h
DING_2	di el_l ng_h
DING_3	di el_l ng_l
DING_4	di el_h ng_l
DIU_0	di o_m u_m
DIU_1	di o_h u_h
DIU_2	di o_l u_h
DIU_3	di o_l u_l
DIU_4	di o_h u_l
DONG_0	du u_m ng_m
DONG_1	du u_h ng_h
DONG_2	du u_l ng_h
