A_0	a_m a_m
LUN_4	lu el_h nn_l
LUO_0	lu o_m o_m
LUO_1	lu o_h o_h
LUO_2	lu o_l o_h
LUO_3	lu o_l o_l
LUO_4	lu o_h o_l
LV_0	lv v_m v_m
LV_1	lv v_h v_h
LV_2	lv v_l v_h
LV_3	lv v_l v_l
LV_4	lv v_h v_l
LVE_0	lv eh_m eh_m
LVE_1	lv eh_h eh_h
LVE_2	lv eh_l eh_h
LVE_3	lv eh_l eh_l
LVE_4	lv eh_h eh_l
MA_0	m a_m a_m
MA_1	m a_h a_h
MA_2	m a_l a_h
MA_3	m a_l a_l
MA_4	m a_h a_l
MAI_0	m a_m eh_m
MAI_1	m a_h eh_h
MAI_2	m a_l eh_h
MAI_3	m a_l eh_l
MAI_4	m a_h eh_l
MAN_0	m a_m nn_m
MAN_1	m a_h nn_h
MAN_2	m a_l nn_h
MAN_3	m a_l nn_l
MAN_4	m a_h nn_l
MANG_0	m aa_m ng_m
MANG_1	m aa_h ng_h
MANG_2	m aa_l ng_h
MANG_3	m aa_l ng_l
MANG_4	m aa_h ng_l
MAO_0	m aa_m o_m
MAO_1	m aa_h o_h
MAO_2	m aa_l o_h
MAO_3	m aa_l o_l
MAO_4	m aa_h o_l
ME_0	m el_m el_m
ME_1	m el_h el_h
ME_2	m el_l el_h
ME_3	m el_l el_l
ME_4	m el_h el_l
MEI_0	m eh_m i_m
MEI_1	m eh_h i_h
MEI_2	m eh_l i_h
MEI_3	m eh_l i_l
MEI_4	m eh_h i_l
MEN_0	m el_m nn_m
MEN_1	m el_h nn_h
MEN_2	m el_l nn_h
MEN_3	m el_l nn_l
MEN_4	m el_h nn_l
MENG_0	m el_m ng_m
MENG_1	m el_h ng_h
MENG_2	m el_l ng_h
MENG_3	m el_l ng_l
MENG_4	m el_h ng_l
MI_0	mi i_m i_m
MI_1	mi i_h i_h
MI_2	mi i_l i_h
MI_3	mi i_l i_l
MI_4	mi i_h i_l
MIAN_0	mi a_m nn_m
MIAN_1	mi a_h nn_h
MIAN_2	mi a_l nn_h
MIAN_3	mi a_l nn_l
MIAN_4	mi a_h nn_l
MIAO_0	mi aa_m o_m
MIAO_1	mi aa_h o_h
MIAO_2	mi aa_l o_h
MIAO_3	mi aa_l o_l
MIAO_4	mi aa_h o_l
MIE_0	mi eh_m eh_m
MIE_1	mi eh_h eh_h
MIE_2	mi eh_l eh_h
MIE_3	mi eh_l eh_l
MIE_4	mi eh_h eh_l
MIN_0	mi i_m nn_m
MIN_1	mi i_h nn_h
MIN_2	mi i_l nn_h
MIN_3	mi i_l nn_l
MIN_4	mi i_h nn_l
MING_0	mi el_m ng_m
MING_1	mi el_h ng_h
MING_2	mi el_l ng_h
MING_3	mi el_l ng_l
MING_4	mi el_h ng_l
MIU_0	mi o_m u_m
MIU_1	mi o_h u_h
MIU_2	mi o_l u_h
MIU_3	mi o_l u_l
MIU_4	mi o_h u_l
MO_0	mu o_m o_m
MO_1	mu o_h o_h
MO_2	mu o_l o_h
MO_3	mu o_l o_l
MO_4	mu o_h o_l
MOU_0	m o_m u_m
MOU_1	m o_h u_h
MOU_2	m o_l u_h
MOU_3	m o_l u_l
MOU_4	m o_h u_l
MU_0	mu u_m u_m
MU_1	mu u_h u_h
MU_2	mu u_l u_h
MU_3	mu u_l u_l
MU_4	mu u_h u_l
NA_0	n a_m a_m
NA_1	n a_h a_h
NA_2	n a_l a_h
NA_3	n a_l a_l
NA_4	n a_h a_l
NAI_0	n a_m eh_m
NAI_1	n a_h eh_h
NAI_2	n a_l eh_h
NAI_3	n a_l eh_l
NAI_4	n a_h eh_l
NAN_0	n a_m nn_m
NAN_1	n a_h nn_h
NAN_2	n a_l nn_h
NAN_3	n a_l nn_l
NAN_4	n a_h nn_l
NANG_0	n aa_m ng_m
NANG_1	n aa_h ng_h
NANG_2	n aa_l ng_h
NANG_3	n aa_l ng_l
NANG_4	n aa_h ng_l
NAO_0	n aa_m o_m
NAO_1	n aa_h o_h
NAO_2	n aa_l o_h
NAO_3	n aa_l o_l
NAO_4	n aa_h o_l
NE_0	n el_m el_m
NE_1	n el_h el_h
NE_2	n el_l el_h
NE_3	n el_l el_l
NE_4	n el_h el_l
NEI_0	n eh_m i_m
NEI_1	n eh_h i_h
NEI_2	n eh_l i_h
NEI_3	n eh_l i_l
NEI_4	n eh_h i_l
NEN_0	n el_m nn_m
NEN_1	n el_h nn_h
NEN_2	n el_l nn_h
NEN_3	n el_l nn_l
NEN_4	n el_h nn_l
NENG_0	n el_m ng_m
NENG_1	n el_h ng_h
NENG_2	n el_l ng_h
NENG_3	n el_l ng_l
NENG_4	n el_h ng_l
NI_0	ni i_m i_m
NI_1	ni i_h i_h
NI_2	ni i_l i_h
NI_3	ni i_l i_l
NI_4	ni i_h i_l
NIAN_0	ni a_m nn_m
NIAN_1	ni a_h nn_h
NIAN_2	ni a_l nn_h
NIAN_3	ni a_l nn_l
NIAN_4	ni a_h nn_l
NIANG_0	ni aa_m ng_m
NIANG_1	ni aa_h ng_h
NIANG_2	ni aa_l ng_h
NIANG_3	ni aa_l ng_l
NIANG_4	ni aa_h ng_l
NIAO_0	ni aa_m o_m
NIAO_1	ni aa_h o_h
NIAO_2	ni aa_l o_h
NIAO_3	ni aa_l o_l
NIAO_4	ni aa_h o_l
NIE_0	ni eh_m eh_m
NIE_1	ni eh_h eh_h
NIE_2	ni eh_l eh_h
NIE_3	ni eh_l eh_l
NIE_4	ni eh_h eh_l
NIN_0	ni i_m nn_m
NIN_1	ni i_h nn_h
NIN_2	ni i_l nn_h
NIN_3	ni i_l nn_l
NIN_4	ni i_h nn_l
NING_0	ni el_m ng_m
NING_1	ni el_h ng_h
NING_2	ni el_l ng_h
NING_3	ni el_l ng_l
NING_4	ni el_h ng_l
NIU_0	ni o_m u_m
NIU_1	ni o_h u_h
NIU_2	ni o_l u_h
NIU_3	ni o_l u_l
NIU_4	ni o_h u_l
NONG_0	nu u_m ng_m
NONG_1	nu u_h ng_h
NONG_2	nu u_l ng_h
NONG_3	nu u_l ng_l
NONG_4	nu u_h ng_l
NOU_0	n o_m u_m
NOU_1	n o_h u_h
NOU_2	n o_l u_h
NOU_3	n o_l u_l
NOU_4	n o_h u_l
NU_0	nu u_m u_m
NU_1	nu u_h u_h
NU_2	nu u_l u_h
NU_3	nu u_l u_l
NU_4	nu u_h u_l
NUAN_0	nu a_m nn_m
NUAN_1	nu a_h nn_h
NUAN_2	nu a_l nn_h
NUAN_3	nu a_l nn_l
NUAN_4	nu a_h nn_l
NUO_0	nu o_m o_m
NUO_1	nu o_h o_h
NUO_2	nu o_l o_h
NUO_3	nu o_l o_l
NUO_4	nu o_h o_l
NV_0	nv v_m v_m
NV_1	nv v_h v_h
NV_2	nv v_l v_h
NV_3	nv v_l v_l
NV_4	nv v_h v_l
NVE_0	nv eh_m eh_m
NVE_1	nv eh_h eh_h
NVE_2	nv eh_l eh_h
NVE_3	nv eh_l eh_l
NVE_4	nv eh_h eh_l
O_0	o_m o_m
O_1	o_h o_h
O_2	o_l o_h
O_3	o_l o_l
O_4	o_h o_l
OU_0	o_m u_m
OU_1	o_h u_h
OU_2	o_l u_h
OU_3	o_l u_l
OU_4	o_h u_l
PA_0	p a_m a_m
PA_1	p a_h a_h
PA_2	p a_l a_h
PA_3	p a_l a_l
PA_4	p a_h a_l
PAI_0	p a_m eh_m
PAI_1	p a_h eh_h
PAI_2	p a_l eh_h
PAI_3	p a_l eh_l
PAI_4	p a_h eh_l
PAN_0	p a_m nn_m
PAN_1	p a_h nn_h
PAN_2	p a_l nn_h
PAN_3	p a_l nn_l
PAN_4	p a_h nn_l
PANG_0	p aa_m ng_m
PANG_1	p aa_h ng_h
PANG_2	p aa_l ng_h
PANG_3	p aa_l ng_l
PANG_4	p aa_h ng_l
PAO_0	p aa_m o_m
PAO_1	p aa_h o_h
PAO_2	p aa_l o_h
PAO_3	p aa_l o_l
PAO_4	p aa_h o_l
PEI_0	p eh_m i_m
PEI_1	p eh_h i_h
PEI_2	p eh_l i_h
PEI_3	p eh_l i_l
PEI_4	p eh_h i_l
PEN_0	p el_m nn_m
PEN_1	p el_h nn_h
PEN_2	p el_l nn_h
PEN_3	p el_l nn_l
PEN_4	p el_h nn_l
PENG_0	p el_m ng_m
PENG_1	p el_h ng_h
PENG_2	p el_l ng_h
PENG_3	p el_l ng_l
PENG_4	p el_h ng_l
PI_0	pi i_m i_m
PI_1	pi i_h i_h
PI_2	pi i_l i_h
PI_3	pi i_l i_l
PI_4	pi i_h i_l
PIAN_0	pi a_m nn_m
PIAN_1	pi a_h nn_h
PIAN_2	pi a_l nn_h
PIAN_3	pi a_l nn_l
PIAN_4	pi a_h nn_l
PIAO_0	pi aa_m o_m
PIAO_1	pi aa_h o_h
PIAO_2	pi aa_l o_h
PIAO_3	pi aa_l o_l
PIAO_4	pi aa_h o_l
PIE_0	pi eh_m eh_m
PIE_1	pi eh_h eh_h
PIE_2	pi eh_l eh_h
PIE_3	pi eh_l eh_l
PIE_4	pi eh_h eh_l
PIN_0	pi i_m nn_m
PIN_1	pi i_h nn_h
PIN_2	pi i_l nn_h
PIN_3	pi i_l nn_l
PIN_4	pi i_h nn_l
PING_0	pi el_m ng_m
PING_1	pi el_h ng_h
PING_2	pi el_l ng_h
PING_3	pi el_l ng_l
PING_4	pi el_h ng_l
PO_0	pu o_m o_m
PO_1	pu o_h o_h
PO_2	pu o_l o_h
PO_3	pu o_l o_l
PO_4	pu o_h o_l
POU_0	p o_m u_m
POU_1	p o_h u_h
POU_2	p o_l u_h
POU_3	p o_l u_l
POU_4	p o_h u_l
PU_0	pu u_m u_m
PU_1	pu u_h u_h
PU_2	pu u_l u_h
PU_3	pu u_l u_l
PU_4	pu u_h u_l
QI_0	qi i_m i_m
QI_1	qi i_h i_h
QI_2	qi i_l i_h
QI_3	qi i_l i_l
QI_4	qi i_h i_l
QIA_0	qi a_m a_m
QIA_1	qi a_h a_h
QIA_2	qi a_l a_h
QIA_3	qi a_l a_l
QIA_4	qi a_h a_l
QIAN_0	qi a_m nn_m
QIAN_1	qi a_h nn_h
QIAN_2	qi a_l nn_h
QIAN_3	qi a_l nn_l
QIAN_4	qi a_h nn_l
QIANG_0	qi aa_m ng_m
QIANG_1	qi aa_h ng_h
QIANG_2	qi aa_l ng_h
QIANG_3	qi aa_l ng_l
QIANG_4	qi aa_h ng_l
QIAO_0	qi aa_m o_m
QIAO_1	qi aa_h o_h
QIAO_2	qi aa_l o_h
QIAO_3	qi aa_l o_l
QIAO_4	qi aa_h o_l
QIE_0	qi eh_m eh_m
QIE_1	qi eh_h eh_h
QIE_2	qi eh_l eh_h
QIE_3	qi eh_l eh_l
QIE_4	qi eh_h eh_l
QIN_0	qi i_m nn_m
QIN_1	qi i_h nn_h
QIN_2	qi i_l nn_h
QIN_3	qi i_l nn_l
QIN_4	qi i_h nn_l
QING_0	qi el_m ng_m
QING_1	qi el_h ng_h
QING_2	qi el_l ng_h
QING_3	qi el_l ng_l
QING_4	qi el_h ng_l
QIONG_0	qv u_m ng_m
QIONG_2	qv u_l ng_h
QIONG_3	qv u_l ng_l
QIONG_4	qv u_h ng_l
QIU_0	qi o_m u_m
QIU_1	qi o_h u_h
QIU_2	qi o_l u_h
QIU_3	qi o_l u_l
QU_0	qv v_m v_m
QU_1	qv v_h v_h
QU_2	qv v_l v_h
QU_3	qv v_l v_l
QU_4	qv v_h v_l
QUAN_0	qv a_m nn_m
QUAN_1	qv a_h nn_h
QUAN_2	qv a_l nn_h
QUAN_3	qv a_l nn_l
QUAN_4	qv a_h nn_l
QUE_0	qv eh_m eh_m
QUE_1	qv eh_h eh_h
QUE_2	qv eh_l eh_h
QUE_3	qv eh_l eh_l
QUE_4	qv eh_h eh_l
QUN_0	qv el_m nn_m
QUN_1	qv el_h nn_h
QUN_2	qv el_l nn_h
QUN_3	qv el_l nn_l
QUN_4	qv el_h nn_l
RAN_0	r a_m nn_m
RAN_1	r a_h nn_h
RAN_2	r a_l nn_h
RAN_3	r a_l nn_l
RAN_4	r a_h nn_l
RANG_0	r aa_m ng_m
RANG_1	r aa_h ng_h
RANG_2	r aa_l ng_h
RANG_3	r aa_l ng_l
RANG_4	r aa_h ng_l
RAO_0	r aa_m o_m
RAO_1	r aa_h o_h
RAO_2	r aa_l o_h
RAO_3	r aa_l o_l
RAO_4	r aa_h o_l
RE_0	r el_m el_m
RE_1	r el_h el_h
RE_2	r el_l el_h
RE_3	r el_l el_l
RE_4	r el_h el_l
REN_0	r el_m nn_m
REN_1	r el_h nn_h
REN_2	r el_l nn_h
REN_3	r el_l nn_l
REN_4	r el_h nn_l
RENG_0	r el_m ng_m
RENG_1	r el_h ng_h
RENG_2	r el_l ng_h
RENG_3	r el_l ng_l
RENG_4	r el_h ng_l
RI_0	r ib_m ib_m
RI_1	r ib_h ib_h
RI_2	r ib_l ib_h
RI_3	r ib_l ib_l
RI_4	r ib_h ib_l
RONG_0	ru u_m ng_m
RONG_1	ru u_h ng_h
RONG_2	ru u_l ng_h
RONG_3	ru u_l ng_l
RONG_4	ru u_h ng_l
ROU_0	r o_m u_m
ROU_1	r o_h u_h
ROU_2	r o_l u_h
ROU_3	r o_l u_l
ROU_4	r o_h u_l
RU_0	ru u_m u_m
RU_1	ru u_h u_h
RU_2	ru u_l u_h
RU_3	ru u_l u_l
RU_4	ru u_h u_l
RUAN_0	ru a_m nn_m
RUAN_1	ru a_h nn_h
RUAN_2	ru a_l nn_h
RUAN_3	ru a_l nn_l
RUAN_4	ru a_h nn_l
RUI_0	ru eh_m i_m
RUI_1	ru eh_h i_h
RUI_2	ru eh_l i_h
RUI_3	ru eh_l i_l
RUI_4	ru eh_h i_l
RUN_0	ru el_m nn_m
RUN_1	ru el_h nn_h
RUN_2	ru el_l nn_h
RUN_3	ru el_l nn_l
RUN_4	ru el_h nn_l
RUO_0	ru o_m o_m
RUO_1	ru o_h o_h
RUO_2	ru o_l o_h
RUO_3	ru o_l o_l
RUO_4	ru o_h o_l
SA_0	s a_m a_m
SA_1	s a_h a_h
SA_2	s a_l a_h
SA_3	s a_l a_l
SA_4	s a_h a_l
SAI_0	s a_m eh_m
SAI_1	s a_h eh_h
SAI_2	s a_l eh_h
SAI_3	s a_l eh_l
SAI_4	s a_h eh_l
SAN_0	s a_m nn_m
SAN_1	s a_h nn_h
SAN_2	s a_l nn_h
SAN_3	s a_l nn_l
SAN_4	s a_h nn_l
SANG_0	s aa_m ng_m
SANG_1	s aa_h ng_h
SANG_2	s aa_l ng_h
SANG_3	s aa_l ng_l
SANG_4	s aa_h ng_l
SAO_0	s aa_m o_m
SAO_1	s aa_h o_h
SAO_2	s aa_l o_h
SAO_3	s aa_l o_l
SAO_4	s aa_h o_l
SE_0	s el_m el_m
SE_1	s el_h el_h
SE_2	s el_l el_h
SE_3	s el_l el_l
SE_4	s el_h el_l
SEI_0	s eh_m i_m
SEI_1	s eh_h i_h
SEI_2	s eh_l i_h
SEI_3	s eh_l i_l
SEI_4	s eh_h i_l
SEN_0	s el_m nn_m
SEN_1	s el_h nn_h
SEN_2	s el_l nn_h
SEN_3	s el_l nn_l
SEN_4	s el_h nn_l
SENG_0	s el_m ng_m
SENG_1	s el_h ng_h
SENG_2	s el_l ng_h
SENG_3	s el_l ng_l
SENG_4	s el_h ng_l
SHA_0	sh a_m a_m
SHA_1	sh a_h a_h
SHA_2	sh a_l a_h
SHA_3	sh a_l a_l
SHA_4	sh a_h a_l
SHAI_0	sh a_m eh_m
SHAI_1	sh a_h eh_h
SHAI_2	sh a_l eh_h
SHAI_3	sh a_l eh_l
SHAI_4	sh a_h eh_l
SHAN_0	sh a_m nn_m
SHAN_1	sh a_h nn_h
SHAN_2	sh a_l nn_h
SHAN_3	sh a_l nn_l
SHAN_4	sh a_h nn_l
SHANG_0	sh aa_m ng_m
SHANG_1	sh aa_h ng_h
SHANG_2	sh aa_l ng_h
SHANG_3	sh aa_l ng_l
SHANG_4	sh aa_h ng_l
SHAO_0	sh aa_m o_m
SHAO_1	sh aa_h o_h
SHAO_2	sh aa_l o_h
SHAO_3	sh aa_l o_l
SHAO_4	sh aa_h o_l
SHE_0	sh el_m el_m
SHE_1	sh el_h el_h
SHE_2	sh el_l el_h
SHE_3	sh el_l el_l
SHE_4	sh el_h el_l
SHEI_0	sh eh_m i_m
SHEI_1	sh eh_h i_h
SHEI_2	sh eh_l i_h
SHEI_3	sh eh_l i_l
SHEI_4	sh eh_h i_l
SHEN_0	sh el_m nn_m
SHEN_1	sh el_h nn_h
SHEN_2	sh el_l nn_h
SHEN_3	sh el_l nn_l
SHEN_4	sh el_h nn_l
SHENG_0	sh el_m ng_m
SHENG_1	sh el_h ng_h
SHENG_2	sh el_l ng_h
SHENG_3	sh el_l ng_l
SHENG_4	sh el_h ng_l
SHI_0	sh ib_m ib_m
SHI_1	sh ib_h ib_h
SHI_2	sh ib_l ib_h
SHI_3	sh ib_l ib_l
SHI_4	sh ib_h ib_l
SHOU_0	sh o_m u_m
SHOU_1	sh o_h u_h
SHOU_2	sh o_l u_h
SHOU_3	sh o_l u_l
SHOU_4	sh o_h u_l
SHU_0	shu u_m u_m
SHU_1	shu u_h u_h
SHU_2	shu u_l u_h
SHU_3	shu u_l u_l
SHU_4	shu u_h u_l
SHUA_0	shu a_m a_m
SHUA_1	shu a_h a_h
SHUA_2	shu a_l a_h
SHUA_3	shu a_l a_l
SHUA_4	shu a_h a_l
SHUAI_0	shu a_m eh_m
SHUAI_1	shu a_h eh_h
SHUAI_2	shu a_l eh_h
SHUAI_3	shu a_l eh_l
SHUAI_4	shu a_h eh_l
SHUAN_0	shu a_m nn_m
SHUAN_1	shu a_h nn_h
SHUAN_2	shu a_l nn_h
SHUAN_3	shu a_l nn_l
SHUAN_4	shu a_h nn_l
SHUANG_0	shu aa_m ng_m
SHUANG_1	shu aa_h ng_h
SHUANG_2	shu aa_l ng_h
SHUANG_3	shu aa_l ng_l
SHUANG_4	shu aa_h ng_l
SHUI_0	shu eh_m i_m
SHUI_1	shu eh_h i_h
SHUI_2	shu eh_l i_h
SHUI_3	shu eh_l i_l
SHUI_4	shu eh_h i_l
SHUN_0	shu el_m nn_m
SHUN_1	shu el_h nn_h
SHUN_2	shu el_l nn_h
SHUN_3	shu el_l nn_l
SHUN_4	shu el_h nn_l
SHUO_0	shu o_m o_m
SHUO_1	shu o_h o_h
SHUO_2	shu o_l o_h
SHUO_3	shu o_l o_l
SHUO_4	shu o_h o_l
SI_0	s if_m if_m
SI_1	s if_h if_h
SI_2	s if_l if_h
SI_3	s if_l if_l
SI_4	s if_h if_l
SONG_0	su u_m ng_m
SONG_1	su u_h ng_h
SONG_2	su u_l ng_h
SONG_3	su u_l ng_l
SONG_4	su u_h ng_l
SOU_0	s o_m u_m
SOU_1	s o_h u_h
SOU_2	s o_l u_h
SOU_3	s o_l u_l
SOU_4	s o_h u_l
SU_0	su u_m u_m
SU_1	su u_h u_h
SU_2	su u_l u_h
SU_3	su u_l u_l
SU_4	su u_h u_l
SUAN_0	su a_m nn_m
SUAN_1	su a_h nn_h
SUAN_2	su a_l nn_h
SUAN_3	su a_l nn_l
SUAN_4	su a_h nn_l
SUI_0	su eh_m i_m
SUI_1	su eh_h i_h
SUI_2	su eh_l i_h
SUI_3	su eh_l i_l
SUI_4	su eh_h i_l
SUN_0	su el_m nn_m
SUN_1	su el_h nn_h
SUN_2	su el_l nn_h
SUN_3	su el_l nn_l
SUN_4	su el_h nn_l
SUO_0	su o_m o_m
SUO_1	su o_h o_h
SUO_2	su o_l o_h
SUO_3	su o_l o_l
SUO_4	su o_h o_l
TA_0	t a_m a_m
TA_1	t a_h a_h
TA_2	t a_l a_h
TA_3	t a_l a_l
TA_4	t a_h a_l
TAI_0	t a_m eh_m
TAI_1	t a_h eh_h
TAI_2	t a_l eh_h
TAI_3	t a_l eh_l
TAI_4	t a_h eh_l
TAN_0	t a_m nn_m
TAN_1	t a_h nn_h
TAN_2	t a_l nn_h
TAN_3	t a_l nn_l
TAN_4	t a_h nn_l
TANG_0	t aa_m ng_m
TANG_1	t aa_h ng_h
TANG_2	t aa_l ng_h
TANG_3	t aa_l ng_l
TANG_4	t aa_h ng_l
TAO_0	t aa_m o_m
TAO_1	t aa_h o_h
TAO_2	t aa_l o_h
TAO_3	t aa_l o_l
TAO_4	t aa_h o_l
TE_0	t el_m el_m
TE_1	t el_h el_h
TE_2	t el_l el_h
TE_3	t el_l el_l
TE_4	t el_h el_l
TENG_0	t el_m ng_m
TENG_1	t el_h ng_h
TENG_2	t el_l ng_h
TENG_3	t el_l ng_l
TENG_4	t el_h ng_l
TI_0	ti i_m i_m
TI_1	ti i_h i_h
TI_2	ti i_l i_h
TI_3	ti i_l i_l
TI_4	ti i_h i_l
TIAN_0	ti a_m nn_m
TIAN_1	ti a_h nn_h
TIAN_2	ti a_l nn_h
TIAN_3	ti a_l nn_l
TIAN_4	ti a_h nn_l
TIAO_0	ti aa_m o_m
TIAO_1	ti aa_h o_h
TIAO_2	ti aa_l o_h
TIAO_3	ti aa_l o_l
TIAO_4	ti aa_h o_l
TIE_0	ti eh_m eh_m
TIE_1	ti eh_h eh_h
TIE_2	ti eh_l eh_h
TIE_3	ti eh_l eh_l
TIE_4	ti eh_h eh_l
TING_0	ti el_m ng_m
TING_1	ti el_h ng_h
TING_2	ti el_l ng_h
TING_3	ti el_l ng_l
TING_4	ti el_h ng_l
TONG_0	tu u_m ng_m
TONG_1	tu u_h ng_h
TONG_2	tu u_l ng_h
TONG_3	tu u_l ng_l
TONG_4	tu u_h ng_l
TOU_0	t o_m u_m
TOU_1	t o_h u_h
TOU_2	t o_l u_h
TOU_3	t o_l u_l
TOU_4	t o_h u_l
TU_0	tu u_m u_m
TU_1	tu u_h u_h
TU_2	tu u_l u_h
TU_3	tu u_l u_l
TU_4	tu u_h u_l
TUAN_0	tu a_m nn_m
TUAN_1	tu a_h nn_h
TUAN_2	tu a_l nn_h
TUAN_3	tu a_l nn_l
TUAN_4	tu a_h nn_l
TUI_0	tu eh_m i_m
TUI_1	tu eh_h i_h
TUI_2	tu eh_l i_h
TUI_3	tu eh_l i_l
TUI_4	tu eh_h i_l
TUN_0	tu el_m nn_m
TUN_1	tu el_h nn_h
TUN_2	tu el_l nn_h
TUN_3	tu el_l nn_l
TUN_4	tu el_h nn_l
TUO_0	tu o_m o_m
TUO_1	tu o_h o_h
TUO_2	tu o_l o_h
TUO_3	tu o_l o_l
TUO_4	tu o_h o_l
WA_0	wu a_m a_m
WA_1	wu a_h a_h
WA_2	wu a_l a_h
WA_3	wu a_l a_l
WA_4	wu a_h a_l
WAI_0	wu a_m eh_m
WAI_1	wu a_h eh_h
WAI_2	wu a_l eh_h
WAI_3	wu a_l eh_l
WAI_4	wu a_h eh_l
WAN_0	wu a_m nn_m
WAN_1	wu a_h nn_h
WAN_2	wu a_l nn_h
WAN_3	wu a_l nn_l
WAN_4	wu a_h nn_l
WANG_0	wu aa_m ng_m
WANG_1	wu aa_h ng_h
WANG_2	wu aa_l ng_h
WANG_3	wu aa_l ng_l
WANG_4	wu aa_h ng_l
WEI_0	wu eh_m i_m
WEI_1	wu eh_h i_h
WEI_2	wu eh_l i_h
WEI_3	wu eh_l i_l
WEI_4	wu eh_h i_l
WEN_0	wu el_m nn_m
WEN_1	wu el_h nn_h
WEN_2	wu el_l nn_h
WEN_3	wu el_l nn_l
WEN_4	wu el_h nn_l
WENG_0	wu el_m ng_m
WENG_1	wu el_h ng_h
WENG_2	wu el_l ng_h
WENG_3	wu el_l ng_l
WENG_4	wu el_h ng_l
WO_0	wu o_m o_m
WO_1	wu o_h o_h
WO_2	wu o_l o_h
WO_3	wu o_l o_l
WO_4	wu o_h o_l
WU_0	wu u_m u_m
WU_1	wu u_h u_h
WU_2	wu u_l u_h
WU_3	wu u_l u_l
WU_4	wu u_h u_l
XI_0	xi i_m i_m
XI_1	xi i_h i_h
XI_2	xi i_l i_h
XI_3	xi i_l i_l
XI_4	xi i_h i_l
XIA_0	xi a_m a_m
XIA_1	xi a_h a_h
XIA_2	xi a_l a_h
XIA_3	xi a_l a_l
XIA_4	xi a_h a_l
XIAN_0	xi a_m nn_m
XIAN_1	xi a_h nn_h
XIAN_2	xi a_l nn_h
XIAN_3	xi a_l nn_l
XIAN_4	xi a_h nn_l
XIANG_0	xi aa_m ng_m
XIANG_1	xi aa_h ng_h
XIANG_2	xi aa_l ng_h
XIANG_3	xi aa_l ng_l
XIANG_4	xi aa_h ng_l
XIAO_0	xi aa_m o_m
XIAO_1	xi aa_h o_h
XIAO_2	xi aa_l o_h
XIAO_3	xi aa_l o_l
XIAO_4	xi aa_h o_l
XIE_0	xi eh_m eh_m
XIE_1	xi eh_h eh_h
XIE_2	xi eh_l eh_h
XIE_3	xi eh_l eh_l
XIE_4	xi eh_h eh_l
XIN_0	xi i_m nn_m
XIN_1	xi i_h nn_h
XIN_2	xi i_l nn_h
XIN_3	xi i_l nn_l
XIN_4	xi i_h nn_l
XING_0	xi el_m ng_m
XING_1	xi el_h ng_h
XING_2	xi el_l ng_h
XING_3	xi el_l ng_l
XING_4	xi el_h ng_l
XIONG_0	xv u_m ng_m
XIONG_1	xv u_h ng_h
XIONG_2	xv u_l ng_h
XIONG_3	xv u_l ng_l
XIONG_4	xv u_h ng_l
XIU_0	xi o_m u_m
XIU_1	xi o_h u_h
XIU_2	xi o_l u_h
XIU_3	xi o_l u_l
XIU_4	xi o_h u_l
XU_0	xv v_m v_m
XU_1	xv v_h v_h
XU_2	xv v_l v_h
XU_3	xv v_l v_l
XU_4	xv v_h v_l
XUAN_0	xv a_m nn_m
XUAN_1	xv a_h nn_h
XUAN_2	xv a_l nn_h
XUAN_3	xv a_l nn_l
XUAN_4	xv a_h nn_l
XUE_0	xv eh_m eh_m
XUE_1	xv eh_h eh_h
XUE_2	xv eh_l eh_h
XUE_3	xv eh_l eh_l
XUE_4	xv eh_h eh_l
XUN_0	xv el_m nn_m
XUN_1	xv el_h nn_h
XUN_2	xv el_l nn_h
XUN_3	xv el_l nn_l
XUN_4	xv el_h nn_l
YA_0	yi a_m a_m
YA_1	yi a_h a_h
YA_2	yi a_l a_h
YA_3	yi a_l a_l
YA_4	yi a_h a_l
YAN_0	yi a_m nn_m
YAN_1	yi a_h nn_h
YAN_2	yi a_l nn_h
YAN_3	yi a_l nn_l
YAN_4	yi a_h nn_l
YANG_0	yi aa_m ng_m
YANG_1	yi aa_h ng_h
YANG_2	yi aa_l ng_h
YANG_3	yi aa_l ng_l
YANG_4	yi aa_h ng_l
YAO_0	yi aa_m o_m
YAO_1	yi aa_h o_h
YAO_2	yi aa_l o_h
YAO_3	yi aa_l o_l
YAO_4	yi aa_h o_l
YE_0	yi eh_m eh_m
YE_1	yi eh_h eh_h
YE_2	yi eh_l eh_h
YE_3	yi eh_l eh_l
YE_4	yi eh_h eh_l
YI_0	yi i_m i_m
YI_1	yi i_h i_h
YI_2	yi i_l i_h
YI_3	yi i_l i_l
YI_4	yi i_h i_l
YIN_0	yi i_m nn_m
YIN_1	yi i_h nn_h
YIN_2	yi i_l nn_h
YIN_3	yi i_l nn_l
YIN_4	yi i_h nn_l
YING_0	yi el_m ng_m
YING_1	yi el_h ng_h
YING_2	yi el_l ng_h
YING_3	yi el_l ng_l
YING_4	yi el_h ng_l
YO_0	yi o_m o_m
YO_1	yi o_h o_h
YO_2	yi o_l o_h
YO_3	yi o_l o_l
YO_4	yi o_h o_l
YONG_0	yi u_m ng_m
YONG_1	yi u_h ng_h
YONG_2	yi u_l ng_h
YONG_3	yi u_l ng_l
YONG_4	yi u_h ng_l
YOU_0	yi o_m u_m
YOU_1	yi o_h u_h
YOU_2	yi o_l u_h
YOU_3	yi o_l u_l
