A	a a
XIAO	xi aa o
XIE	xi eh eh
XIN	xi i nn
XING	xi el ng
XIONG	xv u ng
XIU	xi o u
XU	xv v v
XUAN	xv a nn
XUE	xv eh eh
XUN	xv el nn
YA	yi a a
YAN	yi a nn
YANG	yi aa ng
YAO	yi aa o
YE	yi eh eh
YI	yi i i
YIN	yi i nn
YING	yi el ng
YO	yi o o
YONG	yi u ng
YOU	yi o u
YU	yv v v
YUAN	yv a nn
YUE	yv eh eh
YUN	yv el nn
ZA	z a a
ZAI	z a eh
ZAN	z a nn
ZANG	z aa ng
ZAO	z aa o
ZE	z el el
ZEI	z eh i
ZEN	z el nn
ZENG	z el ng
ZHA	zh a a
ZHAI	zh a eh
ZHAN	zh a nn
ZHANG	zh aa ng
ZHAO	zh aa o
ZHE	zh el el
ZHEI	zh eh i
ZHEN	zh el nn
ZHENG	zh el ng
ZHI	zh ib ib
ZHONG	zhu u ng
ZHOU	zh o u
ZHU	zhu u u
ZHUA	zhu a a
ZHUAI	zhu a eh
ZHUAN	zhu a nn
ZHUANG	zhu aa ng
ZHUI	zhu eh i
ZHUN	zhu el nn
ZHUO	zhu o o
ZI	z if if
ZONG	zu u ng
ZOU	z o u
ZU	zu u u
ZUAN	zu a nn
ZUI	zu eh i
ZUN	zu el nn
ZUO	zu o o
