佐	ZUO_3
佑	YOU_4
佒	YANG_3
体	TI_1;TI_3
何	HE_4;HE_2
佖	BI_4
佗	TUO_2
佘	SHE_2
余	YU_2
佚	YI_4
佛	FO_2;FU_2
作	ZUO_1;ZUO_4;ZUO_2;ZUO_0
佝	GOU_1
佞	NING_4
佟	TONG_2
你	NI_3
佡	XIAN_1
佢	QU_2
佣	YONG_1;YONG_4
佤	WA_3
佥	QIAN_1
佦	SHI_2
佧	KA_3
佨	BAO_1
佩	PEI_4
佫	HE_4
佬	LAO_3
佭	XIANG_2
佮	GE_2
佯	YANG_2
佰	BAI_3
佱	FA_3
佲	MING_3
佳	JIA_1
佴	ER_4;NAI_4
佶	JI_2
佷	HEN_3
佸	HUO_2
佹	GUI_3
佺	QUAN_2
佻	TIAO_1
佼	JIAO_3
佽	CI_4
佾	YI_4
使	SHI_3;SHI_0
侀	XING_2
侁	SHEN_1
侂	TUO_1
侃	KAN_3
侄	ZHI_2
侅	HAI_4
侇	YI_2
侈	CHI_3
侉	KUA_3
侊	GUANG_1
例	LI_4
侌	YIN_1
侍	SHI_4
侎	MI_3
侏	ZHU_1
侐	XU_4
侑	YOU_4
侒	AN_3
侓	LU_4
侔	MOU_2
侕	ER_2
侗	DONG_4;TONG_2;TONG_3
侘	CHA_4
侙	CHI_1
侚	XUN_4
供	GONG_1;GONG_4
侜	ZHOU_1
依	YI_1
侞	RU_2
侟	JIAN_4
侠	XIA_2
価	SI_4
侢	DAI_4
侣	LV_3
侥	JIAO_3;YAO_2
侦	ZHEN_1
侧	CE_4;ZE_4;ZHAI_1
侨	QIAO_2
侩	KUAI_4
侪	CHAI_2
侫	NING_4
侬	NONG_2
侭	JIN_4
侮	WU_3
侯	HOU_4;HOU_2
侰	JIONG_3
侱	TING_3
侲	ZHEN_4
侳	ZUO_4
侴	CHOU_3
侵	QIN_1
侸	SHU_4
侹	TING_3
侺	SHEN_4
侻	TUI_4;TUO_1
侼	BO_2
侽	NAN_2
侾	XIAO_1
便	BIAN_4;BIAN_0;PIAN_2
俀	TUI_3
促	CU_4
俄	E_2
俅	QIU_2
俆	XU_2
俇	GUANG_4
俈	KU_4
俉	WU_3
俊	JUN_4
俋	YI_4
俌	FU_3
俍	LIANG_2
俎	ZU_3
俏	QIAO_4
俐	LI_4
俑	YONG_3
俒	HUN_4
俓	YING_2
俔	XIAN_4
俕	SAN_4
俗	SU_2
俘	FU_2
俙	XI_1
俚	LI_3
俛	FU_3;MIAN_3
俜	PING_1
保	BAO_3
俞	SHU_4;YU_2
俟	QI_2;SI_4
信	XIN_4
俢	XIU_1
俣	YU_3
俤	DI_4
俥	CHE_1
俦	CHOU_2
俨	YAN_3
俩	LIA_3;LIANG_3
俪	LI_4
俫	LAI_2
俬	SI_1
俭	JIAN_3
修	XIU_1
俯	FU_3
俰	HUO_4
俱	JU_1;JU_4
俲	XIAO_4
俳	PAI_2
俴	JIAN_4
俵	BIAO_4
俶	CHU_4;TI_4
俷	FEI_4
俸	FENG_4
俹	YA_4
俺	AN_3
俻	BEI_4
俼	YU_4
俽	XIN_1
俾	BI_3
俿	HU_3
倁	ZHI_1
倂	BING_4
倃	JIU_4
倄	YAO_2
倅	CUI_4;ZU_2
倇	WAN_3
倈	LAI_2
倊	ZONG_4
倌	GUAN_1
倍	BEI_4
倎	TIAN_3
倏	SHU_1
倐	SHU_1
倒	DAO_4;DAO_3
倓	TAN_2
倔	JUE_4;JUE_2
倕	ZHUI_4
倗	PENG_2
倘	CHANG_2;TANG_3
候	HOU_4;HOU_0
倚	YI_3
倛	QI_2
倜	TI_4
倝	GAN_4
倞	JING_4;LIANG_4
借	JIE_4
倠	SUI_1
倡	CHANG_4
倢	QIE_4
値	ZHI_2
倥	KONG_1;KONG_3
